,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
108,0.19,0.0,0.14,0.0,0.0,0.0,0.0,0.19,0.05,0.0,0.0,0.03,0.15,0.45,1.82,0.95,0.51,real
109,0.41,0.0,0.25,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.18,0.31,1.75,0.83,0.47,real
110,0.48,0.0,0.2,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.06,0.22,0.15,1.83,1.01,0.27,real
111,0.57,0.15,0.11,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.21,0.07,0.06,1.76,1.0,0.12,real
112,0.49,0.31,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.31,0.04,0.03,1.84,1.06,0.09,real
113,0.53,0.33,0.04,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.38,0.0,0.0,1.77,0.92,0.0,real
114,0.47,0.2,0.08,0.0,0.0,0.0,0.02,0.26,0.0,0.0,0.0,0.23,0.0,0.0,1.85,0.7,0.1,real
115,0.57,0.15,0.11,0.0,0.0,0.0,0.02,0.39,0.0,0.0,0.0,0.23,0.0,0.0,1.88,0.76,0.14,real
116,0.59,0.22,0.11,0.0,0.0,0.0,0.02,0.41,0.0,0.0,0.01,0.18,0.0,0.01,1.98,0.92,0.19,real
117,0.62,0.42,0.1,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.01,0.23,0.12,0.07,2.0,1.08,0.12,real
118,0.64,0.56,0.07,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.19,0.23,0.11,1.98,0.96,0.1,real
119,0.57,0.64,0.19,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.17,0.18,0.39,0.18,2.0,1.02,0.05,real
120,0.55,0.7,0.31,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.17,0.19,0.29,0.24,2.04,1.1,0.03,real
121,0.4,0.51,0.46,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.17,0.26,0.4,0.29,2.27,1.41,0.0,real
122,0.46,0.35,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.41,0.32,2.37,1.44,0.0,real
123,0.37,0.17,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.55,0.3,2.35,1.42,0.0,real
124,0.44,0.11,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.33,0.21,2.09,1.39,0.0,real
125,0.47,0.26,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.16,0.1,2.01,1.41,0.0,real
126,0.65,0.32,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.12,0.0,1.96,1.31,0.0,real
127,0.8,0.38,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.16,0.0,2.06,1.3,0.0,real
128,0.84,0.27,0.6,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.6,0.16,0.0,2.19,1.27,0.0,real
129,0.87,0.1,0.76,0.0,0.0,0.08,0.0,0.19,0.0,0.0,0.0,0.46,0.04,0.0,2.35,1.31,0.01,real
130,1.01,0.27,0.96,0.0,0.0,0.22,0.0,0.21,0.0,0.0,0.0,0.63,0.0,0.0,2.33,1.31,0.04,real
131,0.94,0.29,1.28,0.0,0.0,0.29,0.03,0.18,0.0,0.0,0.0,0.66,0.0,0.0,2.48,1.18,0.08,real
132,0.76,0.29,1.42,0.0,0.0,0.21,0.08,0.03,0.0,0.0,0.0,0.73,0.0,0.0,2.55,1.13,0.16,real
133,0.3,0.06,1.43,0.0,0.0,0.27,0.09,0.0,0.0,0.0,0.0,0.62,0.0,0.0,2.66,1.04,0.22,real
134,0.12,0.0,1.31,0.0,0.0,0.43,0.07,0.0,0.0,0.0,0.01,0.66,0.0,0.0,2.53,1.0,0.19,real
135,0.0,0.0,1.32,0.0,0.0,0.58,0.02,0.02,0.0,0.0,0.01,0.73,0.01,0.0,2.41,1.01,0.17,real
136,0.0,0.0,1.17,0.0,0.0,0.4,0.0,0.02,0.0,0.0,0.01,0.82,0.01,0.0,2.25,1.05,0.08,real
137,0.0,0.0,0.99,0.0,0.0,0.16,0.0,0.02,0.0,0.0,0.0,0.74,0.01,0.0,2.11,1.18,0.14,real
138,0.0,0.0,0.72,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.71,0.01,0.0,1.86,1.25,0.07,real
139,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.55,0.01,0.0,1.76,1.17,0.06,real
140,0.0,0.0,0.65,0.15,0.0,0.0,0.0,0.06,0.01,0.0,0.31,0.5,0.0,0.0,1.61,0.95,0.09,real
141,0.0,0.0,0.78,0.32,0.0,0.0,0.0,0.16,0.0,0.0,0.58,0.51,0.0,0.0,1.51,0.83,0.26,real
142,0.0,0.0,0.91,0.32,0.0,0.0,0.0,0.16,0.0,0.0,0.67,0.61,0.0,0.0,1.27,0.46,0.66,real
143,0.0,0.0,0.95,0.17,0.0,0.06,0.0,0.1,0.0,0.0,0.36,0.69,0.0,0.0,0.86,0.36,0.68,real
144,0.06,0.14,1.09,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.09,0.6,0.0,0.0,0.62,0.14,0.62,real
145,0.06,0.15,1.12,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.42,0.32,0.22,real
146,0.06,0.15,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.6,0.01,0.0,0.41,0.34,0.1,real
